type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,นอกเขต,ชุดที่ 1,-1,700,663,8,29,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 1,-1,700,605,32,63,-1
บช,ลำปาง,นอกเขต,ชุดที่ 10,-1,700,668,8,24,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 10,-1,700,616,28,56,-1
บช,ลำปาง,นอกเขต,ชุดที่ 11,-1,700,664,6,30,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 11,-1,700,420,28,65,-1
บช,ลำปาง,นอกเขต,ชุดที่ 12,-1,700,666,7,29,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 12,-1,700,614,33,53,-1
บช,ลำปาง,นอกเขต,ชุดที่ 13,-1,694,662,0,23,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 13,-1,694,599,37,58,-1
บช,ลำปาง,นอกเขต,ชุดที่ 2,-1,700,655,8,37,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 2,-1,1560,607,30,63,-1
บช,ลำปาง,นอกเขต,ชุดที่ 3,-1,700,670,4,26,-1
บช,ลำปาง,นอกเขต,ชุดที่ 4,-1,700,672,4,24,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 4,-1,700,625,25,90,-1
บช,ลำปาง,นอกเขต,ชุดที่ 5,-1,700,663,8,27,-1
บช,ลำปาง,นอกเขต,ชุดที่ 6,-1,700,672,4,24,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 6,-1,700,621,24,55,-1
บช,ลำปาง,นอกเขต,ชุดที่ 7,-1,700,664,6,30,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 7,-1,612,612,19,69,-1
บช,ลำปาง,นอกเขต,ชุดที่ 8,-1,700,677,4,19,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 8,-1,700,626,84,50,-1
บช,ลำปาง,นอกเขต,ชุดที่ 9,-1,700,666,6,28,-1
เขต,ลำปาง,นอกเขต,ชุดที่ 9,-1,700,607,24,66,-1
เขต,ลำปาง,งาว,นาแก,1,300,204,8,2,86
เขต,ลำปาง,งาว,นาแก,2,700,404,27,17,252
เขต,ลำปาง,งาว,นาแก,3,360,219,14,11,116
เขต,ลำปาง,นางา,นาแก,4,460,300,23,6,131
เขต,ลำปาง,งาว,นาแก,5,640,437,29,15,159
